name,smiles,prediction
77,COCCOC(=O)C1=C(C)NC(C)=C(C(=O)OC/C=C/c2ccccc2)C1c1cccc([N+](=O)[O-])c1,5.092476209500212
78,CC/C(=C(/CC)c1ccc(O)cc1)c1ccc(O)cc1,4.496058825195437
79,COc1ccc([C@@H]2Sc3ccccc3N(CCN(C)C)C(=O)[C@@H]2OC(C)=O)cc1.Cl,4.87642635660999
80,CN(C)CCOC(c1ccccc1)c1ccccc1.Cl,4.854050490318139
81,CN(C)[C@@H](CCOc1cccc2ccccc12)c1ccccc1.Cl,4.771811939888915
82,Cl.O=C1CN2Cc3c(ccc(Cl)c3Cl)NC2=N1,4.565356690031736
83,Cc1cc(=O)n(-c2ccccc2)n1C,4.372329051396392
84,CCOC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1cccc(Cl)c1Cl,5.0541941097905685
85,CC(=O)OCC(=O)[C@@]12N=C(C)O[C@@H]1C[C@H]1[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@@]12C,4.597602144155751
86,CN/C(=C/[N+](=O)[O-])NCCSCc1csc(CN(C)C)n1,4.93675173530217
87,CCCCOc1ccc(C(=O)CCN2CCCCC2)cc1.Cl,5.003696934972249
88,C[C@@](Cc1ccc(O)c(O)c1)(NN)C(=O)O,4.9803062767917226
89,CCCCC(=O)N(Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1)[C@H](C(=O)O)C(C)C,4.914321506931357
90,OCCN(CCO)c1nc(N2CCCCC2)c2nc(N(CCO)CCO)nc(N3CCCCC3)c2n1,5.453457216527967
91,NC(=O)NO,4.151659832072383
92,[I-].[K+],4.291103434890379
93,CN1[C@H]2CC[C@@H]1CC(OC(=O)C1C=Nc3ccccc31)C2.Cl,4.922424796769507
94,NC(=O)c1cccnc1,4.25698911791341
95,C/C1=C2/N=C(/C=C3\N=C(/C(C)=C4\[N-][C@@](C)([C@@H]5N=C1[C@](C)(CCC(=O)NC[C@@H](C)OP(=O)([O-])O[C@@H]1[C@@H](CO)O[C@H](n6cnc7cc(C)c(C)cc76)[C@@H]1O)[C@H]5CC(N)=O)[C@@](C)(CC(N)=O)[C@@H]4CCC(N)=O)[C@@](C)(CC(N)=O)[C@@H]3CCC(N)=O)C(C)(C)[C@@H]2CCC(N)=O.N#C[Co+2],5.358676141717844
96,O=C([O-])Cc1ccccc1Nc1c(Cl)cccc1Cl.[Na+],4.68511997197151
97,Cc1ncc([N+](=O)[O-])n1CCO,4.759478429658557
98,CC(C)C(=O)Nc1ccc([N+](=O)[O-])c(C(F)(F)F)c1,4.549907869934307
99,CC(C)n1c(/C=C/[C@@H](O)C[C@@H](O)CC(=O)[O-])c(-c2ccc(F)cc2)c2ccccc21.[Na+],4.822878010293518
100,Cc1cc(NS(=O)(=O)c2ccc(N)cc2)no1,4.334909560682236
101,Cc1noc(NS(=O)(=O)c2ccc(N)cc2)c1C,4.454547907779164
102,CN(C)c1ccc(C(=C2C=CC(=[N+](C)C)C=C2)c2ccc(N(C)C)cc2)cc1.[Cl-],4.638075234035657
103,O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1,4.795719825955336
104,O=C1c2ccccc2C(=O)C1c1ccccc1,4.605580570780319
105,C[C@]12C[C@H](O)[C@@]3(F)[C@@H](CCC4=CC(=O)C=C[C@@]43C)[C@@H]1C[C@@H](O)[C@]2(O)C(=O)CO,4.5957602841102965
106,CCOc1nc2cccc(C(=O)OCc3oc(=O)oc3C)c2n1Cc1ccc(-c2ccccc2-c2nc(=O)o[nH]2)cc1,5.093107309382116
107,Cc1cccc(C(C)c2c[nH]cn2)c1C.Cl,4.267747660656154
108,COCCCN1CCC(NC(=O)c2cc(Cl)c(N)c3c2OCC3)CC1,5.090314485379757
109,O=C1CCc2cc(OCCCCc3nnnn3C3CCCCC3)ccc2N1,5.338921259599502
110,O=c1[nH]c(=O)n([C@H]2C[C@H](O)[C@@H](CO)O2)cc1F,4.537471596305796
111,O=c1[nH]c(=O)n([C@H]2CCCO2)cc1F,4.480707025033086
112,O=P1(NCCCl)OCCCN1CCCl,4.3867812281286
113,CC(=O)O[C@]1(C(C)=O)CC[C@H]2[C@@H]3C=C(C)C4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C,4.524793977592163
114,S=c1nc[nH]c2nc[nH]c12,4.2240534900021345
115,CN(N=O)C(=O)N[C@H]1[C@@H](O)O[C@H](CO)[C@@H](O)[C@@H]1O,4.639817281223541
116,C=C1C(=O)O[C@@H]2/C=C(\C)CC/C=C(\C)CC[C@@H]12,4.201818802478616
117,C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO,4.492755093395852
118,COc1cc2nc(N3CCN(C(=O)C4COc5ccccc5O4)CC3)nc(N)c2cc1OC.CS(=O)(=O)O,4.8569831165232955
119,CCc1cccc2c3c([nH]c12)[C@@](CC)(CC(=O)O)OCC3,4.907856597620693
120,CCOC(=O)c1cncn1C(C)c1ccccc1,4.722659022317062
121,OC(Cn1cncn1)(Cn1cncn1)c1ccc(F)cc1F,5.05590279819789
122,CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(F)ccc1-2,4.871823014560455
123,CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1.Cl,4.537314558214099
124,CCOC(=O)Nc1ccc(NCc2ccc(F)cc2)nc1N.O=C(O)/C=C/C(=O)O,5.124627658439101
125,COc1c(N2CCNC(C)C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12,4.782745075354933
126,O=c1c(-c2ccc(O)cc2)coc2cc(O)cc(O)c12,5.126966435644762
127,CCC1=C(C)CN(C(=O)NCCc2ccc(S(=O)(=O)NC(=O)N[C@H]3CC[C@H](C)CC3)cc2)C1=O,5.0447977350680215
128,Cc1c(OCC(F)(F)F)ccnc1CS(=O)c1nc2ccccc2[nH]1,4.784309385166971
129,CC[C@@H](C(N)=O)N1CCCC1=O,4.270753520070802
130,CCOC(=O)N1CCC(=C2c3ccc(Cl)cc3CCc3cccnc32)CC1,5.086640830970085
131,COc1cc(OC)c(/C=C/S(=O)(=O)Cc2ccc(OC)c(NCC(=O)[O-])c2)c(OC)c1.[Na+],4.905629392990891
132,CN(C)CCN1C(=O)c2cccc3cc(N)cc(c23)C1=O,4.815270917841524
133,COc1cc(C)c(/C=C/C(C)=C/C=C/C(C)=C/C(=O)O)c(C)c1C,5.088438613222678
134,C#C[C@]1(O)C=C[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21CC,4.80689755989814
135,C[C@]12CC[C@H]3[C@H]([C@@H]1[C@@H]1C[C@@H]1[C@@]21CCC(=O)O1)[C@H]1C[C@H]1C1=CC(=O)CC[C@@]13C,4.693253604494949
136,Cc1cccc(C)c1OCC(=O)N[C@@H](Cc1ccccc1)[C@@H](O)C[C@H](Cc1ccccc1)NC(=O)[C@H](C(C)C)N1CCCNC1=O,4.7568631989857675
137,CC(O)C1C(=O)N2C(C(=O)O)=C(SC3CNC(C(=O)N(C)C)C3)C(C)C12,5.167550888890194
138,CN1CCN2c3ccccc3Cc3ccccc3C2C1.Cl,4.505304078486759
139,CCOc1cc(N)c(Cl)cc1C(=O)NCC1CN(Cc2ccc(F)cc2)CCO1.O=C(O)CC(O)(CC(=O)O)C(=O)O,5.1958929367041975
140,CS(=O)(=O)O.CS(=O)(=O)O.N=C(N)Nc1ccc(C(=O)Oc2ccc3cc(C(=N)N)ccc3c2)cc1,4.977185832139538
141,COc1ccccc1N1CCN(CC(O)COc2cccc3ccccc23)CC1.Cl.Cl,4.901064434074296
142,COc1ccc2[nH]c(S(=O)Cc3ncc(C)c(OC)c3C)nc2c1,4.589362836114713
143,Cc1nccn1CC1CCc2c(c3ccccc3n2C)C1=O.Cl,5.2674280000564035
144,CN1CCC(=C2c3ccccc3CCc3sccc32)CC1.O=C(O)CC(O)C(=O)O,5.089686524426142
145,Oc1ccc(/C=C/c2cc(O)cc(O)c2)cc1,4.7393232525049545
146,C=CC[N+]1([C@H]2C[C@H]3[C@@H]4CC[C@H]5C[C@H](O)[C@@H](N6CCOCC6)C[C@]5(C)[C@H]4CC[C@]3(C)[C@H]2OC(C)=O)CCCC1.[Br-],5.796967910358738
147,CC(C)OC(=O)OCOP(=O)(CO[C@H](C)Cn1cnc2c(N)ncnc21)OCOC(=O)OC(C)C.O=C(O)/C=C/C(=O)O,4.612327396677227
148,C[C@H](Cn1cnc2c(N)ncnc21)OCP(=O)(O)O,4.841964448029227
149,CN(C)c1cc(NC(=O)CNC(C)(C)C)c(O)c2c1C[C@H]1C[C@H]3[C@H](N(C)C)C(O)=C(C(N)=O)C(=O)[C@@]3(O)C(O)=C1C2=O,5.628450047219596
150,C[C@]12CC[C@H]3[C@@H](CC[C@@]45O[C@@H]4C(O)=C(C#N)C[C@]35C)[C@@H]1CC[C@@H]2O,5.043554246892619
151,CC(=O)O[C@H]1C[C@@H]2CC[C@@H]3[C@H](CC[C@@]4(C)[C@H]3C[C@H]([N+]3(C)CCCCC3)[C@@H]4OC(C)=O)[C@@]2(C)C[C@@H]1N1CCCCC1.[Br-],5.276845913464443
152,CCNC(=O)CCC/C=C\C[C@H]1[C@@H](O)C[C@H](O)[C@@H]1/C=C/C(O)CCc1ccccc1,5.306233810525418
153,CC(=O)NC[C@H]1CN(c2ccc(N3CCOCC3)c(F)c2)C(=O)O1,4.741158664871541
154,COc1cc2nc(N(C)CCCNC(=O)C3CCCO3)nc(N)c2cc1OC.Cl,5.090757593359156
155,COC(=O)[C@H](c1ccccc1Cl)N1CCc2sccc2C1.O=S(=O)(O)O,4.583344338628821
156,Cl.NCC(=O)CCC(=O)O,4.286771083239364
157,COc1ccccc1OCC(O)CN1CCN(CC(=O)Nc2c(C)cccc2C)CC1.Cl.Cl,4.927812406914013
158,CCOc1cc(CC(=O)N[C@@H](CC(C)C)c2ccccc2N2CCCCC2)ccc1C(=O)O,4.8144729621021245
159,COc1ccc(C2CNC(=O)C2)cc1OC1CCCC1,4.924234278058574
160,CCCc1nn(C)c2c(=O)[nH]c(-c3cc(S(=O)(=O)N4CCN(C)CC4)ccc3OCC)nc12.O=C(O)CC(O)(CC(=O)O)C(=O)O,4.458397718210723
161,CNS(=O)(=O)Cc1ccc2[nH]cc(CCN(C)C)c2c1.O=C(O)CCC(=O)O,5.231487855105154
162,CN1c2ccccc2C(NCCCCCCC(=O)[O-])c2ccc(Cl)cc2S1(=O)=O.[Na+],4.911119556044776
163,CC1(C)O[C@@H]2CO[C@@]3(COS(N)(=O)=O)OC(C)(C)O[C@H]3[C@@H]2O1,4.35212762031821
164,COc1ccc(/C=C/C(=O)Nc2ccccc2C(=O)O)cc1OC,4.975608361150506
2654,COc1ccc(/C=C/C(=O)Nc2ccccc2C(=O)O)cc1OC,4.975608361150506
165,COc1ccc(C(CN(C)C)C2(O)CCCCC2)cc1.Cl,5.269519497201433
166,C[C@@H](c1ncncc1F)[C@](O)(Cn1cncn1)c1ccc(F)cc1F,5.214594293294018
167,CC(c1cc2ccccc2s1)N(O)C(N)=O,4.8799759685984885
168,Cl.O=C1Cc2cc(CCN3CCN(c4nsc5ccccc45)CC3)c(Cl)cc2N1,5.0448654297582625
169,NS(=O)(=O)Cc1noc2ccccc12,4.319325584555999
170,Cn1cncc1[C@@](N)(c1ccc(Cl)cc1)c1ccc2c(c1)c(-c1cccc(Cl)c1)cc(=O)n2C,4.5727282633935875
171,Cc1nc(C(=O)NCC(=O)O)c(O)c2ccc(Oc3ccccc3)cc12,5.123733176396703
172,C=C1/C(=C\C=C2/CCC[C@@]3(C)[C@H]2CC[C@@H]3[C@H](C)CCCC(C)(C)O)C[C@@H](O)C[C@@H]1O,5.533077721329532
173,C=C1/C(=C/C=C2\CCC[C@@]3(C)[C@H]2CC[C@@H]3[C@H](C)/C=C/[C@@H](C)C(C)C)C[C@@H](O)C[C@@H]1O,4.981258277605285
174,C=C1/C(=C/C=C2/CCC[C@@]3(C)[C@H]2CC[C@@H]3[C@H](C)CCCC(C)C)C[C@@H](O)C[C@@H]1O,5.3971239686978585
