smiles,name
O1[C@@H]([C@H]([C@@H]([C@@H]1n1c2c(nc1)c(nc(n2)F)N)O)O)CO,183
C1=C[C@]2(C(=CC1=O)CC[C@@H]1[C@@]2([C@H](C[C@]2([C@H]1C[C@@H]([C@@]2(C(=O)CO)O)C)C)O)F)C,184
c12c(c(c(c(c1O)C/C=C(/CCC(=O)OCCN1CCOCC1)\\C)OC)C)COC2=O,185
n1(c(=O)n(c2c(c1=O)n(cn2)CC(CO)O)C)C,186
[C@H]1(C(=O)N([C@H]1C)S(=O)(=O)O)NC(=O)/C(=N\\OC(C(=O)O)(C)C)/c1nc(sc1)N,187
N1(CC(=O)N2[C@@H](C1=O)Cc1c([C@H]2c2ccc3c(c2)OCO3)[nH]c2c1cccc2)C,188
C1(N(C)C(=O)C(NC(=O)C(NC(=O)C(CC(C)C)N(C(=O)C(NC(=O)C(CC(C)C)N(C)C(=O)CN(C)C(=O)C(CC)NC(=O)C(N(C(=O)C(N(C(=O)C(N(C)C1=O)CC(C)C)C)C(C)C)C)[C@@H]([C@@H](C/C=C/C)C)O)C(C)C)C)C)C)CC(C)C,189
c1(ccc2c(c1)nc(n2CCN(CC)CC)CCCC)/C=C/C(=O)NO,190
c1c(c(c(cc1)Cl)C(=O)Nc1c[nH]nc1C(=O)NC1CCNCC1)Cl,191
c1cc(nc(c1)C(O)(C)C)n1n(c(=O)c2c1nc(nc2)Nc1ccc(cc1)N1CCN(CC1)C)CC=C,192
c1c(ccc(c1)c1nc2n(c1)c1c(s2)cc(cc1)OCCN1CCOCC1)NC(=O)Nc1cc(on1)C(C)(C)C,193
c1ccc2=S[Zn]3(On2c1)On1c(=S3)cccc1,194
[C@H]1([C@@](C1)(C(=O)N(CC)CC)c1ccccc1)CN.Cl,195
c1(ccc2c(c1)CCO2)CCN1CC[C@H](C1)C(C(=O)N)(c1ccccc1)c1ccccc1.Br,196
[nH]1c(=S)[nH]c(=O)cc1,197
c1(c(cc(cc1OC)Nc1nc(c(cn1)F)Nc1nc2c(cc1)OC(C(=O)N2)(C)C)OC)OC,198
c1(c(ccc(c1)c1sc(c(n1)C)C(=O)O)OCC(C)C)C#N,199
c1(ccc(c(c1)Cc1ccc(cc1)OCC)Cl)[C@@H]1O[C@@H]([C@H]([C@@H]([C@H]1O)O)O)CO,200
c1c2c(ccc1C1=NNC(=O)CC1C)[nH]c(n2)c1ccc(cc1)OC,201
[C@@H]1([C@H](C)[C@@H]([C@H](/C=C/C=C/C=C/C=C/C=C/C=C/C=C/[C@@H](C[C@H]2[C@@H]([C@H](C[C@@](C[C@H](C[C@H]([C@@H](CC[C@H](C[C@H](CC(=O)O1)O)O)O)O)O)(O2)O)O)C(=O)O)O[C@H]1[C@H]([C@H]([C@@H]([C@H](O1)C)O)N)O)C)O)C,202
c1ccc2c(c1)c(=O)n(nc2Cc1ccc(cc1)Cl)C1CCN(CCC1)C.Cl,203
[C@@]1([C@H](OC(=O)[C@@H]([C@H]([C@@H]([C@H]([C@@](C[C@H](C(=O)[C@@H]([C@H]1O)C)C)(OC)C)O[C@@H]1O[C@@H](C[C@@H]([C@H]1O)N(C)C)C)C)O[C@@H]1O[C@H]([C@@H]([C@](C1)(C)OC)O)C)C)CC)(O)C,204
N12[C@H](C(S[C@@H]1[C@@H](C2=O)NC(=O)[C@@H](c1ccccc1)N)(C)C)C(=O)[O-].[Na+],205
c1(c(nccc1Oc1ccc(cc1F)NC(=O)c1c(=O)n(ccc1OCC)c1ccc(cc1)F)N)Cl,206
c12c(cc(cc1)C1(C(=O)Nc3nc(c(cc3)C)c3cccc(c3)C(=O)O)CC1)OC(O2)(F)F,207
c1ccc2c(c1N)C(=O)N(C2=O)C1C(=O)NC(=O)CC1,208
